village	fam_vil	famprod	type	area	quantity	unity	price	commerc	fammarket	qta_ton	price_ton	price_ha
melos	b	Cana	o	7.3	18.3	ton	10	183	Att_ASTC	18.3	10.00	25.03
bomjesus	b	Acerola	n	0.1	NA	uni	NA	0	con 	NA	NA	0.00
cousta_do	b	Acerola	n	0.1	NA	uni	NA	0	con 	NA	NA	0.00
melos	b	Acerola	n	0.0	2.0	Kg	1	0	con 	0.0	NA	0.00
bomjesus	b	Citros	n	19.9	22774.0	uni	0	2277	F_ASTC	4.6	499.91	114.48
bomjesus	b	Mandioca	o	2.0	335.0	Kg	1	168	F_ASTC	0.3	500.00	83.75
cousta_do	b	Graviola	n	7.4	2621.0	Kg	1	2097	FAC	2.6	800.00	283.35
bomjesus	b	Abacaxi	n	6.8	23800.0	uni	1	17850	FC	35.7	500.00	2625.00
bomjesus	b	Banana	o	4.3	3950.0	uni	0	395	FC	0.6	666.67	92.94
bomjesus	b	Mandioca	o	0.7	1096.0	Kg	2	1973	FC	1.1	1800.00	3035.08
cousta_do	b	Abacaxi	n	4.3	11234.0	uni	1	5617	FC	16.9	333.33	1306.28
melos	b	Citros	n	8.4	7024.0	uni	0	702	FC	1.4	500.00	83.32
melos	b	Mandioca	o	4.3	486.0	Kg	1	243	FC	0.5	500.00	57.18
melos	b	Citros	n	0.2	134.0	uni	0	11	FC	0.0	533.33	67.00
melos	b	Abacaxi	n	0.2	354.0	uni	1	354	FC	0.5	666.67	2082.35
melos	b	Banana	o	1.0	25870.0	uni	0	2587	FC	3.9	666.67	2667.01
melos	b	Banana	o	0.3	8000.0	uni	0	1040	FC	1.2	866.67	3466.67
melos	b	Banana	o	6.2	85970.0	uni	0	12036	FC	12.9	933.33	1944.39
melos	b	Maracuja	n	4.6	1142.5	Kg	1	1428	FC	1.1	1250.00	312.50
melos	b	Mandioca	o	0.2	225.0	Kg	1	299	FC	0.2	1330.00	1662.50
melos	b	Graviola	n	6.8	570.0	Kg	2	969	FC	0.6	1700.00	141.67
melos	b	Coco	o	33.0	NA	uni	0	NA	FC	NA	NA	0.00
cousta_do	b	Citros	n	1.0	1000.0	uni	0	50	F	0.2	333.33	50.00
cousta_do	b	Citros	n	2.7	1132.0	uni	0	113	F	0.2	500.00	41.93
cousta_do	b	Mandioca	o	11.3	324.0	Kg	1	162	F	0.3	500.00	14.34
cousta_do	b	Banana	o	0.4	391.0	uni	0	39	F	0.1	666.67	97.75
cousta_do	b	Banana	o	1.2	6550.0	uni	0	655	F	1.0	666.67	545.83
cousta_do	b	Banana	o	2.0	1005.0	uni	0	201	F	0.2	1333.33	100.50
itabaiana	q	Cana	o	7.0	8.0	ton	35	280	att	8.0	35.00	39.77
itabaiana	q	Mandioca	o	9.3	1.5	ton	85	128	att	1.5	85.00	13.71
itabaiana	q	Coco	o	65.0	900.0	uni	0	360	att	1.4	250.00	5.54
lemos	q	Cana	o	11.9	7.3	ton	35	256	att	7.3	35.00	21.56
lemos	q	Coco	o	30.2	910.0	uni	0	364	att	1.5	250.00	12.05
mangibura	q	Cana	o	9.7	24.2	ton	18	435	att	24.2	18.00	44.65
mangibura	q	Mandioca	o	23.1	2.6	ton	100	262	att	2.6	100.00	11.36
massnang	q	Cana	o	3.4	19.5	ton	35	684	att	19.5	35.00	204.15
massnang	q	Mandioca	o	0.8	0.2	ton	150	23	att	0.2	150.00	28.13
itabaiana	q	Maracuja	n	1.6	230.0	Kg	1	288	Att_ASTC	0.2	1250.00	177.47
itabaiana	q	Graviola	n	1.6	80.0	Kg	2	136	Att_ASTC	0.1	1700.00	87.74
mangibura	q	Abacaxi	n	5.5	20000.0	uni	1	10000	Att_ASTC	30.0	333.33	1818.18
massnang	q	Coco	o	55.1	750.0	uni	1	488	Att_ASTC	1.0	500.00	8.86
itabaiana	q	Acerola	n	0.0	3.0	Kg	1	0	con 	0.0	NA	0.00
itabaiana	q	Acerola	n	1.9	20.0	Kg	1	0	con 	0.0	NA	0.00
lemos	q	Acerola	n	0.1	NA	uni	NA	0	con 	NA	NA	0.00
mangibura	q	Mandioca	o	0.2	NA	ton	NA	0	con 	NA	NA	0.00
mangibura	q	Acerola	n	0.0	1.0	Kg	1	0	con 	0.0	NA	0.00
mangibura	q	Banana	o	14.0	22500.0	uni	0	0	con 	3.4	NA	0.00
massnang	q	Abacaxi	n	0.1	NA	uni	NA	0	con 	NA	NA	0.00
samba	q	Mandioca	o	9.1	7.0	ton	35	0	con 	7.0	NA	0.00
samba	q	Mandioca	o	15.0	7500.0	Kg	1	0	con 	7.5	NA	0.00
samba	q	Acerola	n	0.1	12.0	Kg	1	0	con 	0.0	NA	0.00
itabaiana	q	Citros	n	1.0	3331.0	uni	0	333	F_ASTC	0.7	500.00	336.46
itabaiana	q	Mandioca	o	11.5	1500.0	Kg	1	750	F_ASTC	1.5	500.00	65.05
itabaiana	q	Citros	n	0.1	169.0	uni	0	14	F_ASTC	0.0	533.33	270.40
samba	q	Mandioca	o	0.3	125.0	Kg	1	63	F_ASTC	0.1	500.00	208.33
itabaiana	q	Banana	o	10.0	100000.0	uni	0	5000	FC	15.0	333.33	502.51
itabaiana	q	Abacaxi	n	0.5	1200.0	uni	1	1200	FC	1.8	666.67	2400.00
mangibura	q	Maracuja	n	6.8	137.0	Kg	1	685	FC	0.1	500.00	100.59
massnang	q	Citros	n	0.5	850.0	uni	0	43	FC	0.2	250.00	88.54
massnang	q	Mandioca	o	1.2	630.0	Kg	2	945	FC	0.6	1500.00	780.99
samba	q	Coco	o	34.0	3350.0	uni	0	335	FC	5.4	62.50	9.85
samba	q	Citros	n	2.0	3000.0	uni	0	150	FC	0.6	250.00	75.00
samba	q	Citros	n	0.2	650.0	uni	0	33	FC	0.1	333.33	180.56
samba	q	Banana	o	33.0	164300.0	uni	0	8215	FC	24.6	333.33	248.94
samba	q	Graviola	n	2.3	900.0	Kg	1	900	FC	0.9	1000.00	391.30
lemos	q	Mandioca	o	12.6	6.9	ton	150	1035	F	6.9	150.00	82.14
lemos	q	Mandioca	o	2.5	469.8	Kg	1	235	F	469.8	500.00	95.88
lemos	q	Banana	o	5.5	13000.0	uni	0	1300	F	2.0	666.67	238.53
lemos	q	Banana	o	0.5	100.0	uni	0	10	F	0.0	666.67	20.00
lemos	q	Banana	o	2.5	3600.0	uni	0	720	F	0.5	1333.33	293.88
mangibura	q	Coco	o	29.4	107.0	uni	1	54	F	0.2	312.50	1.82
mangibura	q	Citros	n	3.0	500.0	uni	0	50	F	0.1	500.00	16.56
mangibura	q	Mandioca	o	4.7	400.0	Kg	1	200	F	0.4	500.00	43.01
mangibura	q	Citros	n	0.2	250.0	Kg	1	250	F	0.0	1000.00	1190.48
mangibura	q	Mandioca	o	0.7	338.0	Kg	1	439	F	0.3	1300.00	655.82
massnang	q	Mandioca	o	9.9	500.0	Kg	1	250	F	0.5	500.00	25.38
massnang	q	Citros	n	0.1	180.0	uni	0	18	F	0.0	666.67	180.00
massnang	q	Banana	o	9.9	18000.0	uni	0	1800	F	2.7	666.67	181.09
lemos	q	Graviola	n	0.5	NA	uni	NA	0	NA	NA	NA	0.00
samba	q	Cana	o	26.2	8.1	ton	25	202	Usina	8.1	25.00	7.71
